project_name,image_url,address,min_month_rent,max_month_rent,room_min_price,room_type_count,district
泊寓-长阳半岛店,https://vky-oss.inboyu.com/upload/39dec4ce-fc77-cf99-ff02-56b720c34d68.png,北京市房山区长阳地铁站向南300米(红黄蓝幼儿园对面),1900.0000,2900.0000,1900,4,房山区
泊寓-金域缇香店,https://vky-oss.inboyu.com/upload/39dec4cc-0904-8e23-c08d-b44e8232cb36.png,北京市房山区金域缇香东门,1680.0000,2600.0000,1680,4,房山区
泊寓-劲松店,https://vky-oss.inboyu.com/upload/39dec4cd-c1f6-c76a-dbfd-3b94e964a3a8.png,北京市朝阳区松榆南路美景东方小区38号院2号楼,4300.0000,6000.0000,4300,2,朝阳区
泊寓-旧宫店,https://vky-oss.inboyu.com/upload/39dec4ca-1ef6-2917-beba-db9ff33bd9b0.png,北京市大兴区忠凉路1号院3号楼旧宫地铁站旁,1900.0000,4600.0000,1900,3,大兴区
泊寓-上清店,https://vky-oss.inboyu.com/upload/39deda94-ce1a-b593-eecf-2340cac8316f.jpg,北京市海淀区清河一街60号泊寓北京(上清店),4000.0000,6600.0000,4000,2,海淀区
泊寓-空港店,https://vky-oss.inboyu.com/upload/39df9f0e-0b51-8b47-513c-8cc75d34e9c3.jpg,北京市顺义区林河南大街33号泊寓北京空港店,1450.0000,2500.0000,1450,6,顺义区
泊寓-天坛店,https://vky-oss.inboyu.com/upload/39e38f3d-bf11-3078-5528-ae297cef34ff.jpg,北京市东城区天坛东里乙48号,4400.0000,6800.0000,4400,3,东城区
泊寓-亦庄店,http://vky-oss.inboyu.com/upload/39e7ec89-b44e-a561-0b13-d934208bc087.jpg,北京市通州区经海三路,2700.0000,5100.0000,2700,3,大兴区
泊寓-北锣店,http://vky-oss.inboyu.com/upload/39e60837-e4ac-53fb-eae0-67770db9dfaf.jpg,北京市东城区安定门街道千福巷12号,5400.0000,7800.0000,5400,3,东城区
泊寓-安贞店,http://vky-oss.inboyu.com/upload/39e9085b-af5f-c78d-a104-087295945560.jpg,北京市朝阳区安贞西里四区甲-1号楼,4330.0000,6130.0000,4330,2,朝阳区
泊寓-西直门店,http://vky-oss.inboyu.com/upload/39e9e4c0-6401-f5ba-b3b5-25018b134482.jpg,北京市海淀区文慧园西路36号,3400.0000,8100.0000,3400,4,海淀区
